Provinsi;Rumah Sakit;Puskesmas;Dokter Praktik Perorangan;Dokter Gigi;Klinik Utama;Klinik Pratama;Apotek
Aceh;72;360;78;4;29;193;492
Sumatera Utara;222;615;128;8;14;213;1431
Sumatera Barat;80;279;107;37;19;132;571
Riau;76;234;74;18;6;100;771
Jambi;41;207;68;19;2;73;418
Sumatera Selatan;87;345;225;34;20;312;614
Bengkulu;26;179;97;16;3;37;288
Lampung;80;315;117;5;10;190;655
Kepulauan Bangka Belitung;27;64;30;6;19;68;200
Kepulauan Riau;36;93;8;1;21;89;305
DKI Jakarta;193;315;16;1;213;426;2055
Jawa Barat;388;1.086;466;60;190;1433;4874
Jawa Tengah;324;880;1047;304;166;974;3768
D.I. Yogyakarta;81;121;103;31;8;125;603
Jawa Timur;400;971;682;227;130;981;4250
Banten;123;245;7;1;27;335;1632
Bali;73;120;301;91;33;119;885
Nusa Tenggara Barat;43;175;111;11;19;107;530
Nusa Tenggara Timur;56;421;89;29;6;60;379
Kalimantan Barat;53;247;91;14;12;54;339
Kalimantan Tengah;30;205;64;12;6;50;153
Kalimantan Selatan;52;237;150;32;13;58;494
Kalimantan Timur;60;188;114;48;14;115;724
Kalimantan Utara;12;56;28;5;2;17;86
Sulawesi Utara;53;198;151;31;1;16;284
Sulawesi Tengah;40;215;40;14;6;23;437
Sulawesi Selatan;120;469;182;77;35;172;1329
Sulawesi Tenggara;38;293;67;13;7;25;489
Gorontalo;17;93;27;6;0;15;183
Sulawesi Barat;14;98;35;7;2;3;130
Maluku;33;222;32;6;1;16;175
Maluku Utara;22;147;31;8;4;17;145
Papua Barat;23;162;28;5;2;2;169
Papua;47;437;57;9;2;22;341
